age;job;marital;education;default;balance;housing;loan;contact;day;month;duration
30;unemployed;married;primary;no;1787;no;no;cellular;19;oct;79
33;services;married;secondary;no;4789;yes;yes;cellular;11;may;220
35;management;single;tertiary;no;1350;yes;no;cellular;16;apr;185
30;management;married;tertiary;no;1476;yes;yes;unknown;3;jun;199
59;blue-collar;married;secondary;no;0;yes;no;unknown;5;may;226
35;management;single;tertiary;no;747;no;no;cellular;23;feb;141
36;self-employed;married;tertiary;no;307;yes;no;cellular;14;may;341
39;technician;married;secondary;no;147;yes;no;cellular;6;may;151
41;entrepreneur;married;tertiary;no;221;yes;no;unknown;14;may;57
43;services;married;primary;no;-88;yes;yes;cellular;17;apr;313
39;services;married;secondary;no;9374;yes;no;unknown;20;may;273
43;admin.;married;secondary;no;264;yes;no;cellular;17;apr;113
36;technician;married;tertiary;no;1109;no;no;cellular;13;aug;328
20;student;single;secondary;no;502;no;no;cellular;30;apr;261
31;blue-collar;married;secondary;no;360;yes;yes;cellular;29;jan;89
40;management;married;tertiary;no;194;no;yes;cellular;29;aug;189
56;technician;married;secondary;no;4073;no;no;cellular;27;aug;239
37;admin.;single;tertiary;no;2317;yes;no;cellular;20;apr;114
25;blue-collar;single;primary;no;-221;yes;no;unknown;23;may;250
31;services;married;secondary;no;132;no;no;cellular;7;jul;148
38;management;divorced;unknown;no;0;yes;no;cellular;18;nov;96
42;management;divorced;tertiary;no;16;no;no;cellular;19;nov;140
44;services;single;secondary;no;106;no;no;unknown;12;jun;109
44;entrepreneur;married;secondary;no;93;no;no;cellular;7;jul;125
26;housemaid;married;tertiary;no;543;no;no;cellular;30;jan;169
41;management;married;tertiary;no;5883;no;no;cellular;20;nov;182
55;blue-collar;married;primary;no;627;yes;no;unknown;5;may;247
67;retired;married;unknown;no;696;no;no;telephone;17;aug;119
56;self-employed;married;secondary;no;784;no;yes;cellular;30;jul;149
53;admin.;married;secondary;no;105;no;yes;cellular;21;aug;74
68;retired;divorced;secondary;no;4189;no;no;telephone;14;jul;897
31;technician;married;secondary;no;171;no;no;cellular;27;aug;81
59;management;married;secondary;no;42;no;no;cellular;21;nov;40
32;management;single;tertiary;no;2536;yes;no;cellular;26;aug;958
49;technician;married;tertiary;no;1235;no;no;cellular;13;aug;354
42;admin.;divorced;secondary;no;1811;yes;no;unknown;14;may;150
78;retired;divorced;primary;no;229;no;no;telephone;22;oct;97
32;blue-collar;married;secondary;no;2089;yes;no;cellular;14;nov;132
33;management;married;secondary;no;3935;yes;no;cellular;6;may;765
23;services;single;tertiary;no;363;yes;no;unknown;30;may;16
38;management;single;tertiary;no;11971;yes;no;unknown;17;nov;609
36;management;single;tertiary;no;553;no;no;cellular;11;aug;106
52;blue-collar;married;secondary;no;1117;yes;no;cellular;13;may;365
32;technician;married;tertiary;no;396;yes;no;cellular;13;may;205
32;technician;single;tertiary;no;2204;yes;no;cellular;21;nov;11
34;management;single;tertiary;no;872;yes;no;unknown;7;may;105
55;blue-collar;married;primary;no;145;no;no;telephone;2;feb;59
26;blue-collar;married;primary;no;0;yes;no;unknown;21;may;425
32;entrepreneur;single;primary;yes;-849;yes;yes;cellular;4;feb;204
61;admin.;married;unknown;no;4629;yes;no;cellular;27;jan;181
45;blue-collar;divorced;primary;no;844;no;no;unknown;5;jun;1018
37;technician;single;secondary;no;228;yes;no;cellular;20;aug;1740
38;technician;single;secondary;no;50;no;no;cellular;29;aug;98
34;technician;married;tertiary;no;1539;yes;no;cellular;15;jun;441
53;blue-collar;married;secondary;no;2231;yes;no;cellular;14;jul;272
48;admin.;married;secondary;no;3064;yes;no;telephone;15;jul;159
57;management;married;secondary;no;82;no;yes;telephone;4;feb;140
33;self-employed;single;tertiary;no;2155;no;no;cellular;17;nov;295
36;retired;single;secondary;no;101;yes;yes;unknown;26;may;314
54;technician;divorced;secondary;no;784;yes;yes;unknown;15;may;579
41;blue-collar;married;primary;no;-516;no;yes;telephone;8;jul;554
63;retired;married;secondary;no;415;yes;no;cellular;7;oct;323
48;management;married;tertiary;no;5887;no;no;cellular;13;aug;227
48;services;married;secondary;no;1355;no;no;cellular;4;jul;134
56;admin.;married;secondary;no;16873;no;no;cellular;7;oct;223
51;blue-collar;divorced;secondary;no;203;yes;no;cellular;8;may;134
31;services;married;secondary;no;338;yes;no;cellular;28;jan;155
29;technician;married;secondary;no;444;yes;no;cellular;21;jul;130
41;management;married;secondary;no;0;no;yes;cellular;7;jul;630
32;technician;single;tertiary;no;360;no;no;cellular;19;nov;164
37;management;married;tertiary;no;0;no;no;cellular;16;jul;268
42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;5;may;380
31;management;single;tertiary;no;6248;yes;no;unknown;9;may;154
41;services;married;tertiary;no;412;yes;no;unknown;3;jun;154
56;retired;married;secondary;no;344;yes;no;unknown;15;may;221
54;management;divorced;tertiary;no;3222;no;no;cellular;14;aug;67
41;blue-collar;divorced;secondary;no;174;yes;no;cellular;14;may;367
40;technician;single;secondary;no;591;no;yes;cellular;14;aug;87
50;blue-collar;divorced;primary;no;388;no;no;cellular;5;feb;701
40;unemployed;married;secondary;no;219;yes;no;cellular;17;nov;204
27;admin.;divorced;secondary;no;451;yes;no;cellular;16;jul;652
60;retired;married;primary;no;5;no;no;cellular;26;aug;63
28;admin.;single;secondary;no;177;yes;yes;cellular;6;may;150
52;services;married;secondary;no;657;no;no;telephone;7;jul;398
37;management;married;tertiary;no;1315;no;no;cellular;30;jun;224
51;blue-collar;married;primary;no;1466;yes;no;unknown;7;may;406
41;technician;single;secondary;no;879;no;yes;cellular;7;jul;60
35;blue-collar;single;primary;no;293;yes;no;unknown;30;may;521
38;admin.;married;secondary;no;424;yes;no;cellular;17;apr;279
34;blue-collar;married;secondary;no;1831;yes;no;unknown;20;may;203
39;blue-collar;married;primary;no;111;no;no;cellular;18;nov;201
34;blue-collar;married;primary;no;455;yes;no;unknown;20;jun;372
27;services;single;secondary;no;-195;yes;no;cellular;18;may;391
32;management;single;tertiary;no;3616;no;no;cellular;14;aug;165
57;blue-collar;married;secondary;no;14093;no;no;cellular;11;aug;231
41;unknown;single;tertiary;no;1567;no;no;cellular;1;jul;291
41;admin.;married;tertiary;no;5426;yes;no;unknown;14;may;149
30;admin.;single;tertiary;no;261;no;no;cellular;19;oct;233
36;blue-collar;divorced;secondary;no;2843;no;no;cellular;12;feb;473
31;unemployed;single;primary;no;406;no;no;cellular;4;feb;736
36;blue-collar;married;secondary;no;0;yes;no;unknown;6;may;337
38;management;single;tertiary;no;493;yes;no;cellular;11;may;553
49;technician;married;secondary;no;5996;no;no;telephone;21;nov;345
57;services;single;primary;no;3777;yes;no;telephone;13;may;65
34;management;single;secondary;no;524;no;no;unknown;13;aug;9
32;management;single;tertiary;no;574;yes;no;cellular;14;apr;259
